[18:52:23(000)    DEBUG_LOGGER  error -                               ] ---------------------- Log Started ------------------------
[18:52:23(000)            repo  debug -                               ] Registered:  50 - INAVIEXTRAS_BINARY_CONNECT::NAME() - NAVIEXTRAS_MOBILE_CONNECT
[18:52:23(000)            repo  debug -                               ] Registered:  51 - ISERVICE_HTTP_COMMUNICATOR_FACTORY::NAME() - SERVICE_HTTP_COMMUNICATOR_FACTORY
[18:52:23(000)            repo  debug -                               ] Registered:  52 - IFIRST_USE_MODULE::NAME() - FIRST_USE_MODULE
[18:52:23(000)            repo  debug -                               ] Registered:  53 - INAVIEXTRAS_CONNECTION::NAME() - FIRSTUSE_CONNECTION
[18:52:23(000)            repo  debug -                               ] Registered:  54 - IHUFFMANDECODER::NAME() - HUFFMANDECODER_IMP
[18:52:23(000)            repo  debug -                               ] Registered:  55 - IHUFFMANENCODER::NAME() - HUFFMANENCODER_IMP
[18:52:23(000)            repo  debug -                               ] Registered:  56 - IDIME::NAME() - DIME_THAI
[18:52:23(000)            repo  debug -                               ] Registered:  57 - IFILE_PROBLEM_REPORTER::NAME() - EMPTY_FILE_PROBLEM_REPORTER
[18:52:23(000)            repo  debug -                               ] Registered:  58 - DBLIB::DEM::IBILINEARDIFFDECODER::NAME() - BILINEARDIFFDECODER_IMP
[18:52:23(000)            repo  debug -                               ] Registered:  59 - DBLIB::DEM::IRESAMPLINGCOMPRESSOR::NAME() - RESAMPLINGCOMPRESSOR
[18:52:23(000)            repo  debug -                               ] Registered:  60 - IDEVLOCK_KEYGENERATOR::NAME() - STD_DEVLOCK_GENERATOR
[18:52:23(000)            repo  debug -                               ] Registered:  61 - ILICENSE_DISTRIBUTOR_SERVER::NAME() - LICENSE_DISTRIBUTOR_SERVER
[18:52:23(000)            repo  debug -                               ] Registered:  62 - ILICENSE_MANAGER::NAME() - LICENSE_MANAGER
[18:52:23(000)            repo  debug -                               ] Registered:  63 - ILICENSE_DISTRIBUTOR_APPLICATION::NAME() - LICENSE_DISTRIBUTOR_APPLICATION
[18:52:23(000)            repo  debug -                               ] Registered:  64 - ILICENSE_DISTRIBUTOR_LANDMARK::NAME() - LICENSE_DISTRIBUTOR_LANDMARK
[18:52:23(000)            repo  debug -                               ] Registered:  65 - ILICENSE_DISTRIBUTOR_CITYMAP::NAME() - LICENSE_DISTRIBUTOR_CITYMAP
[18:52:23(000)            repo  debug -                               ] Registered:  66 - ILICENSE_DISTRIBUTOR_DATA::NAME() - LICENSE_DISTRIBUTOR_DATA
[18:52:23(000)            repo  debug -                               ] Registered:  67 - ILICENSE_DISTRIBUTOR_DEM::NAME() - LICENSE_DISTRIBUTOR_DEM
[18:52:23(000)            repo  debug -                               ] Registered:  68 - ILICENSE_DISTRIBUTOR_IGOMAP::NAME() - LICENSE_DISTRIBUTOR_IGOMAP
[18:52:23(000)            repo  debug -                               ] Registered:  69 - ILICENSE_DISTRIBUTOR_PHONEME::NAME() - LICENSE_DISTRIBUTOR_PHONEME
[18:52:23(000)            repo  debug -                               ] Registered:  70 - ILICENSE_DISTRIBUTOR_POI::NAME() - LICENSE_DISTRIBUTOR_POI
[18:52:23(000)            repo  debug -                               ] Registered:  71 - ILICENSE_DISTRIBUTOR_TMC::NAME() - LICENSE_DISTRIBUTOR_TMC
[18:52:23(000)            repo  debug -                               ] Registered:  72 - ILICENSE_DISTRIBUTOR_RCT::NAME() - LICENSE_DISTRIBUTOR_RCT
[18:52:23(000)            repo  debug -                               ] Registered:  73 - ILICENSE_DISTRIBUTOR_HISTORICALSPEED::NAME() - LICENSE_DISTRIBUTOR_HISTORICALSPEED
[18:52:23(000)            repo  debug -                               ] Registered:  74 - ILICENSE_DISTRIBUTOR_HNR::NAME() - LICENSE_DISTRIBUTOR_HNR
[18:52:23(000)            repo  debug -                               ] Registered:  75 - ILICENSE_DISTRIBUTOR_TRUCKINFO::NAME() - LICENSE_DISTRIBUTOR_TRUCKINFO
[18:52:23(000)            repo  debug -                               ] Registered:  76 - ILICENSE_DISTRIBUTOR_DRIVERALERT::NAME() - LICENSE_DISTRIBUTOR_DRIVERALERT
[18:52:23(000)            repo  debug -                               ] Registered:  77 - ILICENSE_DISTRIBUTOR_FOURWHEELDRIVE::NAME() - LICENSE_DISTRIBUTOR_FOURWHEELDRIVE
[18:52:23(000)            repo  debug -                               ] Registered:  78 - ILICENSE_DISTRIBUTOR_CAR::NAME() - LICENSE_DISTRIBUTOR_CAR
[18:52:23(000)            repo  debug -                               ] Registered:  79 - ILICENSE_DISTRIBUTOR_SPEEDCAM::NAME() - LICENSE_DISTRIBUTOR_SPEEDCAM
[18:52:23(000)            repo  debug -                               ] Registered:  80 - ILICENSE_DISTRIBUTOR_VOICE::NAME() - LICENSE_DISTRIBUTOR_VOICE
[18:52:23(000)            repo  debug -                               ] Registered:  81 - ILICENSE_DISTRIBUTOR_LANG::NAME() - LICENSE_DISTRIBUTOR_LANG
[18:52:23(000)            repo  debug -                               ] Registered:  82 - ILICENSE_DISTRIBUTOR_GUI::NAME() - LICENSE_DISTRIBUTOR_GUI
[18:52:23(000)            repo  debug -                               ] Registered:  83 - ILICENSE_DISTRIBUTOR_STATICTMC::NAME() - LICENSE_DISTRIBUTOR_STATICTMC
[18:52:23(000)            repo  debug -                               ] Registered:  84 - ILICENSE_DISTRIBUTOR_OSIMAGE::NAME() - LICENSE_DISTRIBUTOR_OSIMAGE
[18:52:23(000)            repo  debug -                               ] Registered:  85 - ILICENSE_DISTRIBUTOR_GAME::NAME() - LICENSE_DISTRIBUTOR_GAME
[18:52:23(000)            repo  debug -                               ] Registered:  86 - ILICENSE_DISTRIBUTOR_SKIN::NAME() - LICENSE_DISTRIBUTOR_SKIN
[18:52:23(000)            repo  debug -                               ] Registered:  87 - ILICENSE_DISTRIBUTOR_DICTIONARY::NAME() - LICENSE_DISTRIBUTOR_DICTIONARY
[18:52:23(000)            repo  debug -                               ] Registered:  88 - ILICENSE_DISTRIBUTOR_NAVIGATION::NAME() - LICENSE_DISTRIBUTOR_NAVIGATION
[18:52:23(000)            repo  debug -                               ] Registered:  89 - ILICENSE_DISTRIBUTOR_ASR::NAME() - LICENSE_DISTRIBUTOR_ASR
[18:52:23(000)            repo  debug -                               ] Registered:  90 - ILICENSE_DISTRIBUTOR_SPEEDLIMIT_FC34::NAME() - LICENSE_DISTRIBUTOR_SPEEDLIMIT_FC34
[18:52:23(000)            repo  debug -                               ] Registered:  91 - ILICENSE_DISTRIBUTOR_JUNCTIONVIEW::NAME() - LICENSE_DISTRIBUTOR_JUNCTIONVIEW
[18:52:23(000)            repo  debug -                               ] Registered:  92 - ILICENSE_DISTRIBUTOR_JUNCTIONVIEWNG::NAME() - LICENSE_DISTRIBUTOR_JUNCTIONVIEWNG
[18:52:23(000)            repo  debug -                               ] Registered:  93 - ILICENSE_DISTRIBUTOR_ADDRESSPOINT::NAME() - LICENSE_DISTRIBUTOR_ADDRESSPOINT
[18:52:23(000)            repo  debug -                               ] Registered:  94 - ILICENSE_DISTRIBUTOR_SPEEDPROFILE::NAME() - LICENSE_DISTRIBUTOR_SPEEDPROFILE
[18:52:23(000)            repo  debug -                               ] Registered:  95 - ILICENSE_DISTRIBUTOR_EXTENDED_POSTCODE::NAME() - LICENSE_DISTRIBUTOR_EXTENDED_POSTCODE
[18:52:23(000)            repo  debug -                               ] Registered:  96 - ILICENSE_DISTRIBUTOR_CUSTSFEATURES::NAME() - LICENSE_DISTRIBUTOR_CUSTSFEATURES
[18:52:23(000)            repo  debug -                               ] Registered:  97 - ILICENSE_DISTRIBUTOR_TRAFFICLIGHT::NAME() - LICENSE_DISTRIBUTOR_TRAFFICLIGHT
[18:52:23(000)            repo  debug -                               ] Registered:  98 - ILICENSE_DISTRIBUTOR_EXT_USER_DATA::NAME() - LICENSE_DISTRIBUTOR_EXT_USER_DATA
[18:52:23(000)            repo  debug -                               ] Registered:  99 - ILICENSE_DISTRIBUTOR_SIGN_AS_REAL::NAME() - LICENSE_DISTRIBUTOR_SIGN_AS_REAL
[18:52:23(000)            repo  debug -                               ] Registered: 100 - ILICENSE_DISTRIBUTOR_NATURAL_GUIDANCE::NAME() - LICENSE_DISTRIBUTOR_NATURAL_GUIDANCE
[18:52:23(000)            repo  debug -                               ] Registered: 101 - ILICENSE_DISTRIBUTOR_CURVEALERT::NAME() - LICENSE_DISTRIBUTOR_CURVEALERT
[18:52:23(000)            repo  debug -                               ] Registered: 102 - ILICENSE_DISTRIBUTOR_ALERTPOINT::NAME() - LICENSE_DISTRIBUTOR_ALERTPOINT
[18:52:23(000)            repo  debug -                               ] Registered: 103 - IPACKAGE_MANAGER::NAME() - PACKAGE_MANAGER
[18:52:23(000)            repo  debug -                               ] Registered: 104 - ICONTENT_PROVIDER_REPOSITORY::NAME() - CONTENT_PROVIDER_REPOSITORY
